# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
  247       7.214472544348e-10       2.774284321419e-13       7.651262409508e-12       0.000000000000e+00       3.076276739849e-03       2.484096932413e-03       2.300714574494e-03       1.830937257537e-03       1.753125228676e-03       2.386438334154e-09       2.475637081471e-09       2.416553824493e-09 
  248       7.193417758368e-10       2.872934437667e-13       7.868236345403e-12       0.000000000000e+00       3.083697025738e-03       2.490260399550e-03       2.306544743635e-03       1.835503511345e-03       1.757189282652e-03       2.370191052571e-09       2.460043829269e-09       2.401794937096e-09 
  249       7.171650364813e-10       2.974529991541e-13       8.084064133551e-12       0.000000000000e+00       3.091087641804e-03       2.496401613330e-03       2.312364444141e-03       1.840074878211e-03       1.761267707531e-03       2.353967990216e-09       2.444527978616e-09       2.387139297372e-09 
  250       7.149178244518e-10       3.079094080295e-13       8.298633885223e-12       0.000000000000e+00       3.098447863303e-03       2.502519492156e-03       2.318172489531e-03       1.844650841241e-03       1.765361061841e-03       2.337756252960e-09       2.429079638203e-09       2.372580574806e-09 
  251       7.126008522860e-10       3.186635124667e-13       8.511860530110e-12       0.000000000000e+00       3.105777987034e-03       2.508613995507e-03       2.323968592678e-03       1.849231176554e-03       1.769469501481e-03       2.321558408089e-09       2.413700134292e-09       2.358119879635e-09 
  252       7.102148332555e-10       3.297157058005e-13       8.723665304564e-12       0.000000000000e+00       3.113078558315e-03       2.514685333434e-03       2.329752672101e-03       1.853815707855e-03       1.773593053064e-03       2.305380973185e-09       2.398393587014e-09       2.343760120850e-09 
  253       7.077605074800e-10       3.410662788336e-13       8.933968765204e-12       0.000000000000e+00       3.120350107384e-03       2.520733697020e-03       2.335524615319e-03       1.858404222468e-03       1.777731706636e-03       2.289230494669e-09       2.383164039834e-09       2.329504082863e-09 
  254       7.052386421266e-10       3.527154185253e-13       9.142690789690e-12       0.000000000000e+00       3.127593148967e-03       2.526759257969e-03       2.341284278316e-03       1.862996470766e-03       1.781885415086e-03       2.273113547147e-09       2.368015457758e-09       2.315354423221e-09 
  255       7.026500316084e-10       3.646632066797e-13       9.349750577505e-12       0.000000000000e+00       3.134808181848e-03       2.532762168195e-03       2.347031485023e-03       1.867592165615e-03       1.786054093569e-03       2.257036732758e-09       2.352951725539e-09       2.301313670323e-09 
  256       6.999954977842e-10       3.769096186349e-13       9.555066650723e-12       0.000000000000e+00       3.141995688442e-03       2.538742559409e-03       2.352766026783e-03       1.872190981808e-03       1.790237618913e-03       2.241006680523e-09       2.337976645887e-09       2.287384221141e-09 
