# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.542062200123e+13       3.178571922769e-24       3.005698090419e-08       5.130548960748e+20       1.418981512722e+04       9.201843561230e-10       2.188157753442e+17       1.735311431969e-08       1.555917761272e+41       9.041365479266e+30       4.883806172690e+31       3.487799415444e-08       1.076335502013e+41       2.632253263864e+41       2.632253263864e+41       8.774177544282e+40      -1.167692132721e+49       2.078685550002e-05       5.349125432255e-01 
       1.531342800519e+13       3.223227679710e-24       3.026616468560e-08       5.059468487965e+20       1.418981512722e+04       9.266256466159e-10       2.172947123577e+17       1.747458611992e-08       1.513103919366e+41       8.854124276232e+30       4.782665504806e+31       3.487799415444e-08       1.046718218138e+41       2.559822138071e+41       2.559822138071e+41       8.532740458347e+40      -1.127667337460e+49       2.086441839369e-05       5.329240207615e-01 
       1.520697915113e+13       3.268510805381e-24       3.047898644581e-08       4.989372789647e+20       1.418981512722e+04       9.331120261422e-10       2.157842227981e+17       1.759690822275e-08       1.471468176395e+41       8.670760725107e+30       4.683619398896e+31       3.487799415444e-08       1.017915906457e+41       2.489384083407e+41       2.489384083407e+41       8.297946942839e+40      -1.089014465663e+49       2.094198128737e-05       5.309502280935e-01 
       1.510127025932e+13       3.314430113684e-24       3.069180820603e-08       4.920248222375e+20       1.418981512722e+04       9.396438103252e-10       2.142842331659e+17       1.772008658031e-08       1.430978114875e+41       8.491194522069e+30       4.586624477850e+31       3.487799415444e-08       9.899061415593e+40       2.420884256978e+41       2.420884256978e+41       8.069614188115e+40      -1.051686492130e+49       2.101954418104e-05       5.289910021611e-01 
       1.499629618602e+13       3.360994542349e-24       3.090644895565e-08       4.852081331749e+20       1.418981512722e+04       9.462213169974e-10       2.127946704726e+17       1.784412718636e-08       1.391602209345e+41       8.315347026339e+30       4.491638262874e+31       3.487799415444e-08       9.626671151136e+40       2.354269324990e+41       2.354269324990e+41       7.847564414860e+40      -1.015638003537e+49       2.109710707471e-05       5.270461823018e-01 
       1.489205182325e+13       3.408213154673e-24       3.112290869467e-08       4.784858849772e+20       1.418981512722e+04       9.528448662164e-10       2.113154622369e+17       1.796903607666e-08       1.353309801821e+41       8.143141225741e+30       4.398619154879e+31       3.487799415444e-08       9.361776188815e+40       2.289487421224e+41       2.289487421224e+41       7.631624735676e+40      -9.808251431846e+48       2.117466996838e-05       5.251156102070e-01 
       1.478853209856e+13       3.456095141281e-24       3.134118742310e-08       4.718567692267e+20       1.418981512722e+04       9.595147802799e-10       2.098465364816e+17       1.809481932918e-08       1.316071077933e+41       7.974501702974e+30       4.307526416272e+31       3.487799415444e-08       9.104170282073e+40       2.226488106651e+41       2.226488106651e+41       7.421627020468e+40      -9.472055576424e+48       2.125223286206e-05       5.231991298793e-01 
       1.468573197474e+13       3.504649821919e-24       3.156128514092e-08       4.653194956330e+20       1.418981512722e+04       9.662313837419e-10       2.083878217295e+17       1.822148306448e-08       1.279857043702e+41       7.809354602584e+30       4.218320153111e+31       3.487799415444e-08       8.853652859594e+40       2.165222330161e+41       2.165222330161e+41       7.217407765537e+40      -9.147383452219e+48       2.132979575573e-05       5.212965875904e-01 
       1.458364644959e+13       3.553886647266e-24       3.178138285875e-08       4.588727917816e+20       1.418981512722e+04       9.729950034280e-10       2.069392470004e+17       1.834903344592e-08       1.244639502971e+41       7.647627598620e+30       4.130961297630e+31       3.487799415444e-08       8.610028869138e+40       2.105642390374e+41       2.105642390374e+41       7.018807966282e+40      -8.833840062151e+48       2.140735864941e-05       5.194078318399e-01 
       1.448227055570e+13       3.603815200771e-24       3.200329956599e-08       4.525154028868e+20       1.418981512722e+04       9.798059684520e-10       2.055007418078e+17       1.847747668003e-08       1.210391035451e+41       7.489249862955e+30       4.045411591136e+31       3.487799415444e-08       8.373108625675e+40       2.047701898498e+41       2.047701898498e+41       6.825672993395e+40      -8.531043948390e+48       2.148492154308e-05       5.175327133150e-01 
       1.438159936018e+13       3.654445200525e-24       3.222885425203e-08       4.462460915470e+20       1.418981512722e+04       9.866646102312e-10       2.040722361547e+17       1.860681901679e-08       1.177084975371e+41       7.334152034272e+30       3.961633567249e+31       3.487799415444e-08       8.142707663692e+40       1.991355742210e+41       1.991355742210e+41       6.637852472468e+40      -8.238626728277e+48       2.156248443676e-05       5.156710848514e-01 
       1.428162796443e+13       3.705786501145e-24       3.245440893807e-08       4.400636375041e+20       1.418981512722e+04       9.935712625028e-10       2.026536605310e+17       1.873706674989e-08       1.144695390716e+41       7.182266187684e+30       3.879590535495e+31       3.487799415444e-08       7.918646593578e+40       1.936560050533e+41       1.936560050533e+41       6.455200166912e+40      -7.956232646146e+48       2.164004733043e-05       5.138228013948e-01 
       1.418235150390e+13       3.757849095697e-24       3.267996362410e-08       4.339668374057e+20       1.418981512722e+04       1.000526261340e-09       2.012449459096e+17       1.886822621713e-08       1.113197063035e+41       7.033525804986e+30       3.799246565239e+31       3.487799415444e-08       7.700750961941e+40       1.883272159679e+41       1.883272159679e+41       6.277573864097e+40      -7.683518140509e+48       2.171761022411e-05       5.119877199629e-01 
       1.408376514787e+13       3.810643117641e-24       3.290915628895e-08       4.279545045714e+20       1.418981512722e+04       1.007529945170e-09       1.998460237434e+17       1.900030380065e-08       1.082565467810e+41       6.887865745528e+30       3.720566469944e+31       3.487799415444e-08       7.488851115786e+40       1.831450579829e+41       1.831450579829e+41       6.104835264628e+40      -7.420151426081e+48       2.179517311778e-05       5.101656996088e-01 
       1.398586409917e+13       3.864178842798e-24       3.314016794320e-08       4.220254687611e+20       1.418981512722e+04       1.014582654786e-09       1.984568259617e+17       1.913330592724e-08       1.052776755356e+41       6.745222217679e+30       3.643515791770e+31       3.487799415444e-08       7.282782070423e+40       1.781054962830e+41       1.781054962830e+41       5.936849874662e+40      -7.165812090127e+48       2.187273601146e-05       5.083566013849e-01 
       1.388864359402e+13       3.918466691359e-24       3.337117959745e-08       4.161785759480e+20       1.418981512722e+04       1.021684733369e-09       1.970772849669e+17       1.926723906872e-08       1.023807732257e+41       6.605532750898e+30       3.568060786473e+31       3.487799415444e-08       7.082383381006e+40       1.732046070781e+41       1.732046070781e+41       5.773486901193e+40      -6.920190702648e+48       2.195029890513e-05       5.065602883075e-01 
       1.379209890170e+13       3.973517229903e-24       3.360582923051e-08       4.104126880933e+20       1.418981512722e+04       1.028836526503e-09       1.957073336315e+17       1.940210974219e-08       9.956358433041e+40       6.468736168369e+30       3.494168408636e+31       3.487799415444e-08       6.887499017615e+40       1.684385745480e+41       1.684385745480e+41       5.614619150219e+40      -6.682988439929e+48       2.202786179881e-05       5.047766253222e-01 
