# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.04434e-05 to 34.4277 h/Mpc,
# number of wavenumbers equal to 581
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       4.853330537061e-03      -2.019332619521e+00      -1.495489022336e+02      -1.496100824609e+02      -1.974272239377e+00      -1.495352596300e+02       4.912458074327e-01       4.912459090289e-01 
       4.977020134047e-03      -2.040358860022e+00      -1.566803445062e+02      -1.567459830181e+02      -1.990254058533e+00      -1.566673170854e+02       4.896100505776e-01       4.896100723125e-01 
       5.100961155014e-03      -2.051913354798e+00      -1.639673903920e+02      -1.640377443140e+02      -1.994413793547e+00      -1.639551215985e+02       4.879722779601e-01       4.879722610055e-01 
       5.225137500440e-03      -2.039335497772e+00      -1.714081350082e+02      -1.714834942123e+02      -1.974378849217e+00      -1.713967906681e+02       4.863330349698e-01       4.863330490417e-01 
       5.349534412126e-03      -2.018672482349e+00      -1.790005485908e+02      -1.790812036135e+02      -1.941143298588e+00      -1.789903021473e+02       4.846923241312e-01       4.846924092079e-01 
       5.474138344151e-03      -1.965365121727e+00      -1.867431879803e+02      -1.868294507093e+02      -1.926896277898e+00      -1.867342311363e+02       4.830473651393e-01       4.830474152318e-01 
       5.598936847676e-03      -1.934646161128e+00      -1.946338269165e+02      -1.947259882704e+02      -1.925294204729e+00      -1.946263476026e+02       4.813997572314e-01       4.813997598926e-01 
       5.723918468035e-03      -1.927235327441e+00      -2.026696378490e+02      -2.027680165482e+02      -1.919007601368e+00      -2.026638459730e+02       4.797567048757e-01       4.797567050534e-01 
       5.849072652688e-03      -1.920612086151e+00      -2.108501896909e+02      -2.109550634140e+02      -1.912468091082e+00      -2.108462556218e+02       4.781151926515e-01       4.781151925994e-01 
       5.974389668808e-03      -1.914019147835e+00      -2.191727994189e+02      -2.192844903835e+02      -1.905894131916e+00      -2.191709321067e+02       4.764734209989e-01       4.764734209953e-01 
       6.099860529404e-03      -1.907431043898e+00      -2.276364126386e+02      -2.277552331016e+02      -1.899333906863e+00      -2.276368131004e+02       4.748335149964e-01       4.748335149975e-01 
       6.225476927025e-03      -1.900846283356e+00      -2.362384187217e+02      -2.363646934966e+02      -1.892777080569e+00      -2.362412997174e+02       4.731942723139e-01       4.731942723140e-01 
       6.351231174180e-03      -1.894272753963e+00      -2.449773821346e+02      -2.451114227490e+02      -1.886231444058e+00      -2.449829458567e+02       4.715578602813e-01       4.715578602813e-01 
       6.477116149748e-03      -1.887704557802e+00      -2.538508459969e+02      -2.539930481469e+02      -1.879691133332e+00      -2.538593667109e+02       4.699227835532e-01       4.699227835532e-01 
       6.603125250698e-03      -1.881147694502e+00      -2.628580650965e+02      -2.630087775287e+02      -1.873162103175e+00      -2.628697778017e+02       4.682905258058e-01       4.682905258058e-01 
       6.729252348555e-03      -1.874595221087e+00      -2.719960957496e+02      -2.721557096458e+02      -1.866637447828e+00      -2.720112725348e+02       4.666593619531e-01       4.666593619531e-01 
       6.855491750083e-03      -1.868053389873e+00      -2.812640284060e+02      -2.814329560651e+02      -1.860123388168e+00      -2.812829595756e+02       4.650308470432e-01       4.650308470432e-01 
       6.981838161740e-03      -1.861523317433e+00      -2.906598538316e+02      -2.908385285194e+02      -1.853621037256e+00      -2.906828482618e+02       4.634052593138e-01       4.634052593138e-01 
       7.108286657509e-03      -1.855004400918e+00      -3.001817869621e+02      -3.003706242168e+02      -1.847129798755e+00      -3.002091393676e+02       4.617824496888e-01       4.617824496888e-01 
       7.234832649736e-03      -1.848494339957e+00      -3.098278574124e+02      -3.100273623323e+02      -1.840647374185e+00      -3.098599389143e+02       4.601618435462e-01       4.601618435462e-01 
